u,v,eta,strong
0,1,8.70398083343478e-06,False
1,2,0.0008042820339816024,False
1,3,3.325312488961673e-05,False
2,5,1.5658438532159477e-05,False
2,7,2.6510488665743024e-05,False
2,16,6.440843178648126e-05,False
3,4,1.5130503398022278e-05,False
3,6,2.4424886833143337e-05,False
3,12,3.1376653793791314e-05,False
6,8,2.1567081735182894e-05,False
6,659,6.01157219596088e-06,False
7,11,0.00021384492049703272,False
8,9,1.025174795896812e-05,False
8,34,1.603132924101891e-05,False
9,10,0.0011140342791436306,False
9,14,6.953716717062133e-06,False
11,13,1.0676566320524713e-05,False
11,304,6.662256319667653e-06,False
13,15,4.4097233739364805e-07,True
13,18,1.4923646192985369e-05,False
13,1784,3.926076417792667e-06,True
16,17,3.902571299834669e-06,True
17,20,1.2074994176198832e-05,False
17,23,3.6034500909496856e-06,True
18,19,8.611548168783702e-06,False
20,21,2.279582089841e-06,True
20,22,3.2227544597347134e-06,True
20,28,4.61938736568858e-06,True
21,29,6.23818384388977e-06,False
22,24,1.932914904638496e-06,True
22,66,3.790234953712696e-06,True
23,25,1.2555745301473843e-05,False
24,26,2.9731025680616877e-06,True
24,31,2.822143134429321e-06,True
25,27,2.4567476952903256e-05,False
28,90,2.323948912830809e-06,True
29,30,9.274602961951553e-07,True
31,32,5.77696034173492e-06,False
32,33,5.608975977195959e-06,False
32,35,1.6139319394656477e-05,False
32,39,1.6644165067000785e-06,True
32,128,1.1358542922623816e-06,True
34,38,3.715609439106621e-06,True
35,36,1.3669879096570058e-06,True
35,50,3.903065671694822e-06,True
36,37,6.76427811715016e-07,True
36,1017,9.346092190393507e-07,True
37,167,1.583518978409527e-06,True
39,40,2.9743140360519817e-06,True
39,48,4.0735612682877625e-06,True
39,80,1.3642591652275482e-06,True
40,41,2.081008194443561e-06,True
40,54,1.9812422774052148e-07,True
41,42,3.960555110510005e-06,True
41,45,1.2645758679057145e-06,True
41,53,1.5805793768883437e-06,True
42,43,3.412594870492303e-06,True
43,44,1.6301520903073422e-06,True
45,46,7.992298651174779e-07,True
45,47,7.363965685796829e-07,True
48,49,3.1943568716621775e-07,True
49,51,5.867924383413292e-07,True
49,242,1.111628756928907e-06,True
51,52,9.202713993360316e-06,False
53,55,5.303443534228391e-06,True
53,76,1.0865564606552155e-06,True
55,56,7.0150006677866045e-06,False
55,58,3.476972418475321e-07,True
56,57,4.525008135940056e-06,True
56,62,5.637991873331739e-05,False
57,61,2.015561493461532e-05,False
58,59,2.471136782189247e-06,True
58,73,8.312110173698936e-06,False
59,60,9.318496733338713e-07,True
